name,gender,stream,10th_percentage,12th_percentage,numerical_ability,verbal_reasoning,logical_thinking,spatial_awareness,problem_solving,openness,conscientiousness,extraversion,agreeableness,neuroticism,career_1,career_1_score,career_1_courses,career_2,career_2_score,career_3,career_3_score
Yachana Dhar,Male,Commerce,70,76,79,84,98,74,44,3.21,2.87,2.79,3.13,2.09,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9721,Economist,0.9721
Balvan Oza,Male,Science(PCB),71,76,82,100,51,40,100,2.03,3.08,2.3,2.96,2.74,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Baghyawati Dua,Female,Humanities/Arts,63,95,40,100,65,57,47,2.27,3.42,3.11,2.78,2.7,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9355,Historian,0.9355
Vedant Raman,Male,Science(PCB),62,92,91,80,99,72,36,2.74,2.18,2.87,3.48,2.67,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9497,Geneticist,0.9497
Yashasvi Dhawan,Male,Commerce,88,87,93,81,88,38,31,3.23,2.67,2.58,2.8,3.1,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.991,Economist,0.991
Vedika Gala,Male,Humanities/Arts,83,82,86,94,46,49,68,3.93,3.14,3.69,3.92,2.81,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8498,Historian,0.8498
Oscar Dugar,Male,Science(PCB),84,68,71,82,78,35,79,3.34,4.04,2.24,4.03,2.56,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Upasna Trivedi,Female,Humanities/Arts,92,80,33,64,73,84,42,2.22,2.01,2.14,3.49,2.57,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Tristan Tara,Female,Commerce,69,90,90,99,58,45,40,2.67,1.91,2.79,2.56,1.95,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9988,Economist,0.9988
Faqid Singhal,Female,Humanities/Arts,69,93,83,54,32,48,67,3.23,3.28,3.38,2.35,2.9,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9403,Historian,0.9403
Shaurya Om,Female,Commerce,93,87,84,35,73,77,50,2.41,2.79,2.82,3.17,2.48,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Yuvraj Nair,Male,Humanities/Arts,62,70,38,72,73,86,60,2.39,2.46,2.93,2.54,2.14,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Devika Shukla,Female,Science(PCB),67,60,61,48,44,91,92,2.84,3.18,2.41,2.98,2.93,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Panini Dani,Female,Humanities/Arts,96,70,51,94,44,45,34,2.54,2.88,3.4,2.4,2.64,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.973,Historian,0.973
Chatresh Setty,Male,Science(PCM),83,66,80,34,88,67,49,3.38,1.92,2.37,3.48,2.4,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Tamanna Wason,Female,Commerce,71,66,100,61,40,94,76,2.85,2.36,1.96,1.91,2.55,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Naksh Walla,Female,Humanities/Arts,62,66,86,95,30,64,35,2.45,3.49,2.26,2.72,2.27,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9797,Historian,0.9797
Garima Gade,Female,Humanities/Arts,77,73,73,74,72,67,34,2.79,3.22,2.95,2.19,3.09,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9802,Historian,0.9802
Gagan Mane,Male,Science(PCM),68,60,46,90,99,47,97,2.92,2.7,3.39,3.41,2.5,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Jyoti Mann,Female,Science(PCM),65,95,74,85,75,52,33,1.93,3.44,2.25,2.88,2.21,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9314,Automobile Engineer,0.9314
Amrita Mane,Female,Humanities/Arts,69,64,72,100,51,91,92,2.98,2.42,3.08,2.3,2.1,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9593,Historian,0.9593
Tejas Reddy,Male,Commerce,71,95,86,91,34,47,43,2.63,2.96,2.05,3.45,2.75,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9912,Economist,0.9912
Samesh Gokhale,Male,Commerce,71,68,69,49,84,61,91,2.71,2.07,2.21,3.15,1.92,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9873,Economist,0.9873
Samaksh Mukherjee,Female,Commerce,95,65,87,95,70,57,39,3.49,2.37,2.82,3.46,3.21,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Indali Jayaraman,Male,Science(PCB),71,78,86,83,92,72,67,2.22,2.84,2.85,2.87,3.46,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Michael Ramaswamy,Female,Science(PCB),78,79,77,61,61,100,49,2.3,2.37,3.0,2.47,3.01,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Indali Dass,Female,Science(PCM),95,92,46,70,92,71,49,2.41,2.29,2.07,2.3,3.11,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9767,Automobile Engineer,0.9767
Zashil Kapur,Female,Science(PCM),74,63,46,35,92,48,76,3.11,2.59,3.2,3.22,2.14,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Raghav Edwin,Female,Commerce,86,63,100,37,61,43,66,2.77,2.99,2.58,2.72,2.8,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9895,Economist,0.9895
Chaman Dyal,Male,Science(PCM),76,70,97,48,81,80,100,2.69,2.73,2.31,2.17,2.75,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Michael Madan,Female,Science(PCM),76,67,86,69,88,97,30,3.34,2.26,3.05,3.4,2.79,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Gopal Basu,Male,Science(PCM),62,88,58,48,76,57,34,3.39,2.69,3.16,2.84,2.52,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9535,Automobile Engineer,0.9535
Nirja Raval,Female,Science(PCM),94,68,70,68,55,99,66,2.92,1.96,2.24,2.22,2.76,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Eiravati Edwin,Female,Commerce,77,84,59,69,60,57,93,1.94,3.39,2.51,3.06,2.21,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9333,Economist,0.9333
Yash Menon,Female,Science(PCB),74,79,48,61,40,33,71,2.74,4.68,2.86,2.99,2.49,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Nikita Chatterjee,Female,Commerce,73,96,46,37,45,63,99,2.5,2.46,2.68,2.55,1.95,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Yuvraj Anne,Female,Commerce,95,79,79,55,50,84,58,2.81,4.15,1.91,2.81,3.0,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9617,Economist,0.9617
Ikbal Ganesh,Female,Humanities/Arts,96,62,38,73,94,74,32,2.08,2.28,2.56,3.01,2.68,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Raghav Pall,Male,Science(PCM),77,74,100,60,51,100,92,2.89,2.97,2.58,2.64,2.81,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Janaki Krish,Female,Science(PCB),80,63,70,82,74,57,47,3.28,3.28,2.4,2.19,2.54,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Daksh Pillay,Female,Science(PCM),70,85,90,96,91,98,75,1.95,2.44,2.88,3.04,2.94,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9708,Automobile Engineer,0.9708
Mason Sinha,Male,Science(PCM),79,80,54,31,73,97,79,2.51,2.47,2.5,2.29,2.17,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9736,Automobile Engineer,0.9736
Yash Mohan,Female,Commerce,78,95,100,91,83,91,56,1.99,3.47,2.25,3.4,2.64,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9407,Economist,0.9407
Dalaja Suri,Male,Commerce,79,87,100,91,58,75,76,2.22,2.54,3.49,3.09,2.07,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9708,Economist,0.9708
Raghav Pant,Female,Science(PCB),80,66,44,69,94,36,95,3.38,2.26,2.25,1.96,2.5,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Radhika Kurian,Male,Science(PCM),86,88,81,81,100,64,57,2.16,3.27,3.15,2.95,3.14,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9424,Automobile Engineer,0.9424
Isaiah Kar,Male,Humanities/Arts,92,69,65,81,60,56,63,3.09,2.03,1.93,2.72,2.91,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9985,Historian,0.9985
Kashvi Nadig,Female,Science(PCM),83,84,98,39,56,100,43,2.75,4.3,2.1,3.27,1.91,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.8629,Automobile Engineer,0.8629
Avi Keer,Female,Science(PCM),73,65,92,93,77,50,43,2.9,3.04,2.16,3.18,2.77,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Champak De,Male,Commerce,87,74,77,62,67,58,54,2.16,2.24,2.57,2.19,3.47,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Xiti Dugal,Female,Commerce,91,92,57,76,94,95,49,2.4,2.32,3.46,1.91,3.46,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Yashica Misra,Male,Commerce,97,89,46,98,46,35,95,3.06,3.23,2.07,2.6,2.44,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9955,Economist,0.9955
Harita Dhar,Male,Science(PCM),67,74,77,92,57,84,57,3.08,2.92,2.4,2.96,2.25,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Raksha Raval,Male,Humanities/Arts,67,61,77,60,34,63,91,2.4,2.0,2.79,2.78,3.5,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Dayita Sawhney,Female,Science(PCB),68,79,96,53,58,75,34,2.77,3.41,2.91,3.09,2.66,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Yagnesh Vora,Male,Humanities/Arts,94,87,82,58,97,53,95,2.2,3.02,2.56,3.32,3.4,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9599,Historian,0.9599
Pooja Sidhu,Female,Humanities/Arts,64,70,57,65,66,46,31,3.36,2.42,2.53,2.2,2.78,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Vasatika Barad,Male,Science(PCB),69,70,46,100,62,85,42,3.32,2.12,3.01,2.62,3.13,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Abhiram Gokhale,Male,Science(PCB),68,66,85,100,53,49,36,3.4,3.23,2.41,3.13,2.92,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Turvi Parikh,Male,Humanities/Arts,97,84,84,71,68,53,46,3.88,3.09,2.51,3.63,2.85,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9154,Historian,0.9154
Yamini Naik,Female,Commerce,90,96,100,44,47,55,95,2.0,2.49,3.4,3.5,2.68,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9799,Economist,0.9799
Praneel Karpe,Male,Commerce,65,81,48,82,62,77,32,2.45,2.95,2.6,2.33,3.12,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Faras Kapadia,Male,Humanities/Arts,62,97,48,73,52,99,41,3.43,2.97,3.26,3.48,2.9,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9102,Historian,0.9102
Zinal Goda,Female,Commerce,91,63,63,80,77,81,33,2.19,2.56,2.67,2.68,3.5,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Oscar Ganesan,Female,Humanities/Arts,81,64,93,62,66,72,41,3.36,2.81,2.74,2.67,2.51,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9857,Historian,0.9857
Harshil Barad,Male,Commerce,65,87,49,76,71,74,76,3.2,1.93,2.74,3.17,2.57,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Vasudha Bhasin,Female,Commerce,77,72,100,37,74,35,80,3.42,3.36,3.2,3.1,3.26,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9421,Economist,0.9421
Irya Kapadia,Female,Humanities/Arts,88,72,67,95,100,88,44,2.45,3.42,2.44,3.03,3.34,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9608,Historian,0.9608
Ranveer Rege,Female,Science(PCB),65,64,79,100,79,74,68,3.04,3.31,3.45,2.95,2.86,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Henry Dewan,Female,Humanities/Arts,69,77,99,70,90,95,90,3.05,2.63,3.31,1.92,2.6,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9684,Historian,0.9684
Ojas Mangat,Male,Commerce,94,78,78,81,75,43,39,2.02,3.33,3.03,3.06,2.39,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.931,Economist,0.931
Amol Gopal,Male,Science(PCM),88,85,64,41,41,51,95,2.79,3.26,3.39,2.89,3.18,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9506,Automobile Engineer,0.9506
Varsha Gara,Female,Humanities/Arts,93,79,61,96,70,51,78,2.91,3.23,2.84,2.96,3.04,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9209,Historian,0.9209
Ucchal Rattan,Female,Humanities/Arts,66,69,79,72,60,93,89,2.84,2.62,2.33,3.3,2.78,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9871,Historian,0.9871
Charles Rastogi,Female,Humanities/Arts,72,78,34,100,68,98,71,2.76,3.98,3.09,3.26,2.54,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8855,Historian,0.8855
Kashvi Bhandari,Male,Commerce,65,75,92,81,35,99,53,2.87,3.53,2.14,2.36,1.88,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9885,Economist,0.9885
Simon Atwal,Female,Humanities/Arts,87,90,90,86,55,84,84,2.01,2.99,3.48,1.91,2.58,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9667,Historian,0.9667
Pooja Narayan,Male,Commerce,70,73,84,95,44,77,100,3.26,3.3,2.01,3.18,3.41,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9774,Economist,0.9774
Hemangini Bath,Female,Science(PCM),65,82,58,67,42,40,66,2.02,2.16,3.14,2.43,2.75,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Ucchal Mangat,Male,Commerce,83,82,100,71,63,88,89,1.96,2.05,3.46,3.05,2.57,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9877,Economist,0.9877
Mohini Manda,Female,Commerce,74,61,60,82,34,84,30,2.82,3.14,3.19,3.21,3.02,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Siya Memon,Male,Humanities/Arts,82,78,39,52,46,65,48,2.71,2.58,2.24,3.03,2.55,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Parth Suri,Female,Science(PCM),69,64,83,35,68,100,94,3.14,3.25,3.33,3.09,3.22,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Urvashi Goyal,Male,Science(PCM),75,92,85,72,100,83,51,2.64,2.94,2.21,3.11,2.78,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9373,Automobile Engineer,0.9373
Rudra Naik,Male,Science(PCB),92,77,41,54,81,59,87,2.4,3.14,2.41,3.0,2.05,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Qadim Wali,Male,Science(PCM),63,60,66,34,47,100,68,2.55,2.72,3.02,2.52,2.44,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Rudra Chana,Female,Science(PCM),83,91,53,81,54,66,78,2.22,2.36,2.36,2.44,2.48,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Sachi Palla,Male,Science(PCB),66,92,59,57,42,36,97,3.09,3.13,2.57,1.94,2.05,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9675,Geneticist,0.9675
Anusha Gole,Female,Humanities/Arts,95,85,50,73,62,59,44,2.8,3.06,2.04,3.44,2.64,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9585,Historian,0.9585
Ranbir Ram,Male,Science(PCB),72,74,45,100,94,50,35,3.02,2.36,3.39,2.72,2.48,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Nikita Gole,Male,Commerce,79,66,62,60,41,63,30,2.7,2.93,2.49,3.34,2.6,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Udant Chadha,Male,Science(PCB),93,89,49,77,77,84,88,3.27,3.3,2.55,2.6,3.15,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9459,Geneticist,0.9459
Baljiwan Bhasin,Female,Science(PCB),95,84,33,64,41,77,84,3.4,2.1,2.42,3.17,1.97,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Saumya Dhar,Female,Humanities/Arts,96,88,67,95,31,66,50,2.75,2.59,2.05,2.42,2.66,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Onveer Thakur,Female,Commerce,67,65,95,96,58,45,53,2.38,2.78,3.06,2.19,2.48,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Xalak Brahmbhatt,Male,Commerce,85,65,100,47,71,95,40,2.02,2.88,2.24,2.93,3.14,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9892,Economist,0.9892
Gaurav Nadkarni,Male,Humanities/Arts,71,78,83,100,50,73,72,2.77,4.02,3.53,2.76,1.94,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8648,Historian,0.8648
Jagat Mukherjee,Male,Science(PCB),91,78,70,87,75,30,96,2.28,3.04,2.4,2.98,2.03,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Aditya Varty,Female,Science(PCM),64,90,100,100,90,91,87,3.38,2.39,3.18,2.38,2.16,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9149,Automobile Engineer,0.9149
Zehaan Rajagopalan,Female,Science(PCM),75,88,49,64,89,89,55,2.82,3.0,2.22,2.28,2.45,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9377,Automobile Engineer,0.9377
Urishilla Shroff,Female,Commerce,82,82,100,68,93,37,58,1.77,4.18,2.79,3.41,1.65,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.8447,Economist,0.8447
Chavvi Aurora,Female,Commerce,86,71,57,39,32,87,79,2.83,3.19,3.16,3.25,2.86,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Patrick Peri,Female,Humanities/Arts,86,64,47,55,92,98,84,2.51,2.71,1.93,2.94,2.55,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Warda Tata,Female,Humanities/Arts,63,80,85,100,81,65,81,3.21,3.19,2.23,3.29,3.33,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9105,Historian,0.9105
Balveer Dasgupta,Male,Humanities/Arts,89,61,46,88,92,44,46,3.35,3.35,1.92,2.97,2.09,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8928,Historian,0.8928
Balvan Shenoy,Male,Science(PCB),71,94,37,68,62,70,99,1.96,3.23,2.68,2.17,2.34,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9479,Geneticist,0.9479
Agastya Ranganathan,Male,Commerce,60,95,100,86,42,63,73,3.21,2.75,2.13,3.34,2.16,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9784,Economist,0.9784
Lekha Bail,Female,Science(PCB),64,89,56,58,94,61,51,2.3,3.15,2.25,2.0,2.85,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9876,Geneticist,0.9876
Januja Warrior,Male,Science(PCM),74,65,99,97,52,93,90,2.67,2.8,2.08,3.19,3.16,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Yashvi Shroff,Male,Science(PCB),82,61,87,72,81,49,91,2.68,2.25,2.79,3.3,1.95,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Urvashi De,Female,Science(PCB),74,66,43,67,98,73,88,2.97,3.26,2.32,2.48,2.46,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Advik Garg,Male,Science(PCB),96,84,78,97,76,48,100,2.92,4.57,2.87,2.98,2.28,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Balhaar Arora,Male,Science(PCM),95,75,100,70,71,100,81,3.34,3.42,3.11,1.93,3.31,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.8948,Automobile Engineer,0.8948
Megha Balakrishnan,Female,Science(PCM),61,77,89,66,51,95,75,2.67,3.38,3.16,3.03,3.02,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9401,Automobile Engineer,0.9401
Dayita Ram,Female,Science(PCM),91,72,69,71,100,95,94,2.74,3.23,3.21,2.41,3.11,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Balveer Gopal,Male,Humanities/Arts,89,62,56,69,46,87,49,3.99,2.99,2.86,2.58,2.58,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.971,Historian,0.971
Shravya Verma,Male,Science(PCB),69,68,51,100,34,72,90,3.0,2.43,2.96,3.2,2.57,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Daniel Sanghvi,Male,Science(PCB),66,95,70,100,43,90,71,2.16,3.47,2.93,3.25,2.73,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.894,Geneticist,0.894
Suhani Savant,Male,Commerce,64,92,90,86,51,64,52,2.27,3.1,3.04,2.83,1.96,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.956,Economist,0.956
Saksham Nagi,Male,Commerce,74,65,66,74,85,73,40,3.03,1.92,3.4,2.85,1.98,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Laksh Borde,Female,Science(PCB),64,70,73,87,83,97,94,2.77,3.21,2.75,2.98,3.35,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Chaman Vaidya,Female,Humanities/Arts,67,85,82,100,54,90,81,2.76,3.19,3.19,2.77,2.15,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9254,Historian,0.9254
Bishakha Shroff,Male,Commerce,70,64,100,75,32,85,66,3.46,2.59,2.0,2.67,2.93,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Rohan Sankaran,Male,Commerce,75,66,75,61,38,99,51,2.17,2.86,2.38,3.33,2.75,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Inaya Arya,Male,Science(PCM),95,75,72,40,92,58,52,2.73,2.63,3.14,2.79,3.23,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.971,Automobile Engineer,0.971
Balvan Krishnan,Female,Humanities/Arts,76,69,91,100,67,59,58,2.17,2.89,2.69,3.39,2.55,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9527,Historian,0.9527
Qushi Kumer,Male,Science(PCM),87,71,84,92,100,88,84,3.15,2.65,2.88,2.77,2.79,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Girish Bava,Female,Humanities/Arts,91,90,32,100,99,92,33,3.04,2.62,1.98,2.38,3.03,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Kai Upadhyay,Female,Science(PCB),95,80,83,67,77,39,48,2.01,2.61,3.38,3.0,2.14,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Nilima Vala,Female,Science(PCB),98,80,42,79,48,45,60,2.11,3.6,2.68,4.02,2.53,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Chakradev Barad,Female,Science(PCB),62,79,30,77,84,47,35,1.98,1.99,2.66,2.49,2.09,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Yug Goyal,Female,Commerce,95,74,100,79,38,84,64,2.12,2.15,3.14,2.24,2.05,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Upasna Bera,Female,Science(PCB),77,90,65,100,92,54,95,2.13,2.31,2.6,3.28,2.06,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9341,Geneticist,0.9341
Frado Sarna,Female,Commerce,92,71,77,50,83,62,62,2.23,3.97,3.01,2.2,2.1,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9306,Economist,0.9306
Yadavi Chakraborty,Male,Science(PCM),84,91,100,31,60,86,100,3.37,2.14,3.08,2.04,2.19,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9199,Automobile Engineer,0.9199
